,trend,january,february,march,april,may,june,july,august,september,october,november,total_volume,social_buzz
25,majolica blue dress,10.0,20.0,10.0,10.0,20.0,40.0,20.0,20.0,10.0,10.0,10.0,180.0,0
308,initial bag charms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,110.0,180.0,0
42,leather flare jeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,40.0,0
26,flared denim trousers,0.0,30.0,40.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,180.0,0
116,macbook pro 11 sleeve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0
48,full panel jeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0
5430,precision lip brush,,,,,,,,,,,,0.0,0
5380,large bag charm,,,,,,,,,,,,0.0,0
5591,mens fleece trucker,,,,,,,,,,,,0.0,0
5195,mens vegan leather,,,,,,,,,,,,0.0,0
5200,cleane styles,,,,,,,,,,,,0.0,0
5342,minimizing makeup,,,,,,,,,,,,0.0,0
5344,nextootd,,,,,,,,,,,,0.0,0
5346,waterblend print,,,,,,,,,,,,0.0,0
5347,nosebum,,,,,,,,,,,,0.0,0
5348,decorative suit,,,,,,,,,,,,0.0,0
5644,blemish control paper,,,,,,,,,,,,0.0,0
5351,cowlneck gown,,,,,,,,,,,,0.0,0
5642,cfdanyfw,,,,,,,,,,,,0.0,0
5356,jinseng pack,,,,,,,,,,,,0.0,0
109,petite ankle leggings,40.0,20.0,50.0,10.0,30.0,20.0,30.0,20.0,50.0,50.0,40.0,360.0,0
5359,mens verbiage tee,,,,,,,,,,,,0.0,0
5362,cfdaswarovski,,,,,,,,,,,,0.0,0
5363,mens slim taper jeans,,,,,,,,,,,,0.0,0
5373,terra cotta cheek,,,,,,,,,,,,0.0,0
5595,kite drop earrings,,,,,,,,,,,,0.0,0
5214,licensed jewelry collections,,,,,,,,,,,,0.0,0
5599,levis womens dresses,,,,,,,,,,,,0.0,0
4,pompon charm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,saksutopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5600,key bag charm,,,,,,,,,,,,0.0,0
5598,tech camera bag,,,,,,,,,,,,0.0,0
55,fleece trucker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0
72,mens zipper coat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0
45,full panel pants,20.0,20.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,180.0,0
119,levis mens denim,20.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,40.0,180.0,0
41,mask wash,20.0,10.0,20.0,10.0,10.0,20.0,20.0,10.0,30.0,20.0,10.0,180.0,0
5641,dockers blazers,20.0,30.0,30.0,50.0,10.0,30.0,10.0,30.0,30.0,40.0,,280.0,0
85,mens bit drivers,0.0,0.0,70.0,30.0,20.0,40.0,10.0,20.0,20.0,40.0,30.0,280.0,0
52,perforated shoulder bag,20.0,20.0,40.0,50.0,50.0,10.0,10.0,20.0,20.0,20.0,20.0,280.0,0
8,foil gown,140.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,280.0,0
174,tech duffel bag,10.0,30.0,10.0,30.0,10.0,30.0,20.0,40.0,20.0,30.0,50.0,280.0,0
172,neckwarmer scarf,40.0,30.0,10.0,20.0,20.0,10.0,10.0,30.0,20.0,50.0,50.0,290.0,0
120,burberry bag charms,20.0,30.0,20.0,20.0,20.0,30.0,30.0,30.0,10.0,40.0,40.0,290.0,0
70,tangerine lace dress,30.0,70.0,40.0,30.0,10.0,20.0,30.0,20.0,10.0,20.0,20.0,300.0,0
49,pin charm,20.0,40.0,30.0,40.0,30.0,20.0,20.0,30.0,40.0,20.0,20.0,310.0,0
91,pillow glasses,20.0,30.0,30.0,10.0,10.0,50.0,40.0,30.0,30.0,30.0,30.0,310.0,0
5580,metro pant,50.0,40.0,50.0,20.0,10.0,30.0,30.0,30.0,30.0,20.0,,310.0,0
22,orchid lace dress,20.0,40.0,30.0,30.0,30.0,50.0,30.0,30.0,10.0,30.0,10.0,310.0,0
230,palm warmer,30.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,50.0,70.0,90.0,330.0,0
102,burshed,30.0,20.0,40.0,30.0,20.0,30.0,30.0,20.0,40.0,40.0,30.0,330.0,0
60,french terry romper,30.0,30.0,30.0,50.0,50.0,40.0,40.0,20.0,10.0,10.0,20.0,330.0,0
148,three button coat,30.0,30.0,20.0,10.0,10.0,20.0,40.0,30.0,40.0,50.0,50.0,330.0,0
108,drape back gown,40.0,50.0,20.0,20.0,10.0,10.0,30.0,30.0,40.0,50.0,30.0,330.0,0
5306,athleta asana,0.0,10.0,30.0,50.0,50.0,30.0,40.0,30.0,40.0,50.0,,330.0,0
114,kabocha chips,20.0,20.0,30.0,30.0,10.0,20.0,20.0,20.0,70.0,70.0,40.0,350.0,0
131,mens tech bag,30.0,30.0,10.0,40.0,20.0,40.0,40.0,30.0,30.0,40.0,40.0,350.0,0
5210,parsons wall mirror,40.0,40.0,30.0,40.0,30.0,30.0,30.0,40.0,40.0,30.0,,350.0,0
46,regular fit shorts,10.0,30.0,20.0,70.0,70.0,30.0,40.0,20.0,10.0,30.0,20.0,350.0,0
173,mcm bag charms,10.0,10.0,10.0,20.0,20.0,90.0,70.0,20.0,40.0,20.0,50.0,360.0,0
167,mens button coat,20.0,30.0,20.0,20.0,10.0,10.0,10.0,50.0,70.0,70.0,50.0,360.0,0
315,mens monk strap boot,20.0,20.0,10.0,10.0,10.0,10.0,10.0,40.0,50.0,70.0,110.0,360.0,0
251,semi precious cufflinks,30.0,10.0,30.0,10.0,10.0,20.0,10.0,40.0,20.0,90.0,90.0,360.0,0
158,levis lace up boots,30.0,10.0,40.0,50.0,10.0,20.0,40.0,30.0,40.0,40.0,50.0,360.0,0
201,cc pact,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,40.0,70.0,70.0,270.0,0
171,velour sneakers,10.0,30.0,40.0,10.0,10.0,10.0,20.0,20.0,20.0,50.0,50.0,270.0,0
129,patchwork booties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,90.0,40.0,270.0,0
126,full panel leggings,30.0,10.0,10.0,10.0,10.0,20.0,20.0,30.0,30.0,50.0,40.0,260.0,0
47,red pashli,20.0,10.0,20.0,10.0,20.0,10.0,30.0,20.0,10.0,10.0,20.0,180.0,0
68,mens link necklaces,20.0,10.0,20.0,40.0,10.0,10.0,10.0,30.0,10.0,10.0,20.0,190.0,0
122,mens classic pants,0.0,0.0,0.0,0.0,10.0,10.0,30.0,30.0,30.0,40.0,40.0,190.0,0
105,charcoal blotting paper,0.0,0.0,0.0,0.0,0.0,20.0,30.0,20.0,50.0,50.0,30.0,200.0,0
5602,back to front shirt,20.0,10.0,10.0,20.0,10.0,10.0,20.0,50.0,30.0,20.0,,200.0,0
94,bolwing bag,30.0,20.0,10.0,10.0,20.0,10.0,20.0,20.0,10.0,20.0,30.0,200.0,0
38,crossover pencil skirt,0.0,0.0,10.0,50.0,40.0,20.0,20.0,10.0,10.0,30.0,10.0,200.0,0
5282,cotton sport shirt,30.0,30.0,10.0,10.0,40.0,10.0,20.0,30.0,20.0,10.0,,210.0,0
273,mens jacquard sweater,20.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0,210.0,0
69,mens chains bracelets,40.0,10.0,20.0,20.0,10.0,20.0,30.0,20.0,20.0,10.0,20.0,220.0,0
107,petites top,10.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,70.0,30.0,220.0,0
87,dried honeydew,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,30.0,220.0,0
92,colorblock booties,20.0,20.0,10.0,0.0,10.0,10.0,20.0,40.0,40.0,20.0,30.0,220.0,0
5428,low panel jeans,,,,,,,,,,,,0.0,0
5220,revelation pant,50.0,20.0,30.0,10.0,10.0,20.0,10.0,20.0,20.0,30.0,,220.0,0
115,leather pouchette,30.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,40.0,230.0,0
10,color blocked shirts,20.0,40.0,20.0,30.0,10.0,20.0,20.0,10.0,30.0,20.0,10.0,230.0,0
82,wool crepe coat,10.0,20.0,40.0,10.0,10.0,10.0,20.0,30.0,30.0,20.0,30.0,230.0,0
39,mens criss cross sandals,20.0,20.0,30.0,30.0,30.0,20.0,30.0,10.0,20.0,10.0,10.0,230.0,0
40,womens cargo shirts,40.0,30.0,30.0,20.0,30.0,20.0,10.0,10.0,20.0,10.0,10.0,230.0,0
137,chained bracelet,20.0,20.0,20.0,20.0,40.0,10.0,10.0,10.0,20.0,20.0,40.0,230.0,0
5268,chi top,20.0,20.0,20.0,20.0,30.0,40.0,30.0,20.0,20.0,20.0,,240.0,0
14,gypsie junkies,30.0,30.0,40.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,240.0,0
180,levis womens jean,10.0,20.0,30.0,10.0,20.0,20.0,10.0,30.0,30.0,20.0,50.0,250.0,0
135,color blocked jacket,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,70.0,40.0,250.0,0
61,halfway updo,10.0,10.0,10.0,10.0,30.0,30.0,20.0,50.0,30.0,30.0,20.0,250.0,0
162,mens printed scarf,20.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,50.0,50.0,50.0,260.0,0
103,mens jersey tee,20.0,30.0,10.0,20.0,20.0,10.0,30.0,10.0,30.0,50.0,30.0,260.0,0
74,501 skinny,20.0,30.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,230.0,0
5423,mens pin stripe socks,,,,,,,,,,,,0.0,0
79,chain flats,30.0,30.0,50.0,30.0,20.0,40.0,50.0,10.0,30.0,40.0,30.0,360.0,0
5414,watersnake pumps,,,,,,,,,,,,0.0,0
5519,fringe bag charm,,,,,,,,,,,,0.0,0
5558,watersnake flats,,,,,,,,,,,,0.0,0
5559,roundneck jacket,,,,,,,,,,,,0.0,0
5561,cold shoulder mock neck,,,,,,,,,,,,0.0,0
5569,cutoff cuff bracelet,,,,,,,,,,,,0.0,0
5570,high waisted ankle leggings,,,,,,,,,,,,0.0,0
5556,cable knit nail art,,,,,,,,,,,,0.0,0
5572,lurex pumps,,,,,,,,,,,,0.0,0
5579,croc embossed sneakers,,,,,,,,,,,,0.0,0
5584,nosebum powder pact,,,,,,,,,,,,0.0,0
5589,oriental medicine cosmetics,,,,,,,,,,,,0.0,0
5590,mens logo drivers,,,,,,,,,,,,0.0,0
5603,mens embossed belt,,,,,,,,,,,,0.0,0
5651,lace vstring panties,,,,,,,,,,,,0.0,0
5605,black cluff links,,,,,,,,,,,,0.0,0
5552,embossed booties,,,,,,,,,,,,0.0,0
5649,athleta 7/8 tight,,,,,,,,,,,,0.0,0
5521,bow blouse shirtdress,,,,,,,,,,,,0.0,0
5187,mens skinny tapered pants,,,,,,,,,,,,0.0,0
5522,hairy givenchy bag,,,,,,,,,,,,0.0,0
5611,nosebum pact,,,,,,,,,,,,0.0,0
5608,nordstromott,,,,,,,,,,,,0.0,0
5529,oriental mask pack,,,,,,,,,,,,0.0,0
5531,entertainment retail collaborations,,,,,,,,,,,,0.0,0
5534,time100gala,,,,,,,,,,,,0.0,0
5538,mens logo belt,,,,,,,,,,,,0.0,0
5544,mixed media sneakers,,,,,,,,,,,,0.0,0
5516,canvas top handle,,,,,,,,,,,,0.0,0
5515,geneva waves watch,,,,,,,,,,,,0.0,0
5626,oil absorbing blotting paper,,,,,,,,,,,,0.0,0
5468,metal bag charm,,,,,,,,,,,,0.0,0
5489,hanbang mask pack,,,,,,,,,,,,0.0,0
5490,mens braided melt,,,,,,,,,,,,0.0,0
5494,cold shoulder mock neck top,,,,,,,,,,,,0.0,0
5495,cherry red sequin,,,,,,,,,,,,0.0,0
5623,patent gown,,,,,,,,,,,,0.0,0
5498,twin cake pact,,,,,,,,,,,,0.0,0
5502,wrap front gown,,,,,,,,,,,,0.0,0
5189,bgextraordinary,,,,,,,,,,,,0.0,0
5504,wave drop earrings,,,,,,,,,,,,0.0,0
5505,long triple strand necklace,,,,,,,,,,,,0.0,0
5511,silk lame skirt,,,,,,,,,,,,0.0,0
5512,dolman gown,,,,,,,,,,,,0.0,0
5501,low panel leggings,,,,,,,,,,,,0.0,0
5517,plus size belt dress,,,,,,,,,,,,0.0,0
5476,hanbang cream,,,,,,,,,,,,0.0,0
5624,cashmere bag charm,,,,,,,,,,,,0.0,0
5437,mens cable crew,,,,,,,,,,,,0.0,0
5447,sonar pant,,,,,,,,,,,,0.0,0
5449,jersey solid,,,,,,,,,,,,0.0,0
5191,tati coltier,,,,,,,,,,,,0.0,0
5450,watersnake booties,,,,,,,,,,,,0.0,0
5190,aircushion pact,,,,,,,,,,,,0.0,0
5454,backpack bag charm,,,,,,,,,,,,0.0,0
5456,hanbang cosmetic,,,,,,,,,,,,0.0,0
5461,mens cuban collar,,,,,,,,,,,,0.0,0
5463,be free pant,,,,,,,,,,,,0.0,0
5465,bifaawards,,,,,,,,,,,,0.0,0
5630,mens taper pants,,,,,,,,,,,,0.0,0
5472,mens round watch,,,,,,,,,,,,0.0,0
5434,cold shoulder mock neck dress,,,,,,,,,,,,0.0,0
5527,trekkie pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0
5275,suede bag charm,,,,,,,,,,,,0.0,0
5310,fastest track top,,,,,,,,,,,,0.0,0
5314,cape back gown,,,,,,,,,,,,0.0,0
5316,asana top,,,,,,,,,,,,0.0,0
5258,mens tie front drivers,,,,,,,,,,,,0.0,0
5646,logo print leggings,,,,,,,,,,,,0.0,0
5324,mink fur charm,,,,,,,,,,,,0.0,0
5331,cage stud earrings,,,,,,,,,,,,0.0,0
5209,mens resort shirt,,,,,,,,,,,,0.0,0
5332,mens fit pants,,,,,,,,,,,,0.0,0
5259,roundneck coat,,,,,,,,,,,,0.0,0
5257,nosebum powder,,,,,,,,,,,,0.0,0
5313,uptown lips,,,,,,,,,,,,0.0,0
5248,bow blouse dress,,,,,,,,,,,,0.0,0
5273,oriental medicine cosmetic,,,,,,,,,,,,0.0,0
5242,hanbang cosmetics,,,,,,,,,,,,0.0,0
5240,control blotting paper,,,,,,,,,,,,0.0,0
5270,cotton hip brief,,,,,,,,,,,,0.0,0
5266,oriental medicine cream,,,,,,,,,,,,0.0,0
5217,cherry red lace dress,,,,,,,,,,,,0.0,0
5236,mens regular fit shorts,,,,,,,,,,,,0.0,0
5251,pin bag charm,,,,,,,,,,,,0.0,0
5260,dockers long boxer briefs,,,,,,,,,,,,0.0,0
5211,jacquard pumps,,,,,,,,,,,,0.0,0
5383,mixed media shoulder bag,,,,,,,,,,,,0.0,0
5398,mens thermore vest,,,,,,,,,,,,0.0,0
5385,baked pop chips,,,,,,,,,,,,0.0,0
5384,accentuating makeup,,,,,,,,,,,,0.0,0
5261,mens indigo blues,,,,,,,,,,,,0.0,0
5280,mens semi rimless,,,,,,,,,,,,0.0,0
5339,watersnake sandals,,,,,,,,,,,,0.0,0
5633,mens frayed denim,,,,,,,,,,,,0.0,0
5193,terra cotta cheeks,,,,,,,,,,,,0.0,0
5431,mens classic denim,,,,,,,,,,,,0.0,0
5300,colorblocked mirror,,,,,,,,,,,,0.0,0
5645,flocking bedding,,,,,,,,,,,,0.0,0
5335,levis womens skirt,,,,,,,,,,,,0.0,0
5632,belted sneakers,,,,,,,,,,,,0.0,0
5433,tech cross body bag,,,,,,,,,,,,0.0,0
5308,jinseng cream,,,,,,,,,,,,0.0,0
5265,thermore vest,,,,,,,,,,,,0.0,0
5303,crewneck romper,,,,,,,,,,,,0.0,0
5412,100gala,,,,,,,,,,,,0.0,0
